location,val
Sierra Leone,45738.37885
Suffolk,6581.40622
Querétaro,36676.00989
Rio Grande do Sul,112277.2653
Goiás,51225.76106
Durango,31466.56263
Oman,38727.95858
Macedonia,33065.87746
Montenegro,8455.00805
India,11163009.12
East Midlands,33006.60835
Togo,43139.79551
Wigan,2168.599424
Saint Lucia,3813.927469
Halton,1140.0108
Roraima,4604.698026
Puerto Rico,96029.14173
Tameside,1421.702563
Iceland,2550.601871
Saint Vincent and the Grenadines,3327.520775
Maryland,72487.57869
Massachusetts,69303.85507
Mauritius,57611.77474
Havering,1709.173893
Comoros,6587.042172
Vanuatu,4857.60781
Tamaulipas,72981.51352
